ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-1.35105 -0.566422 0.0878204 1.37445 -0.143044 0.674568 -0.41034 -0.637351 -0.517185 0.0565487 1.04497 -0.113097 -0.717461 -0.0722566 2.46 -19.912 2.78 -8.544 0.192 0.212 0.128
-1.35259 -0.567189 0.0885874 1.3756 -0.14266 0.673801 -0.411107 -0.633816 -0.518363 0.0459458 1.0489 -0.116239 -0.72021 -0.0616538 2.524 -19.88 2.848 -8.512 0.184 0.184 0.148
-1.35374 -0.56834 0.0885874 1.37828 -0.14266 0.673034 -0.410723 -0.633816 -0.521112 0.044375 1.05558 -0.109956 -0.712356 -0.0647953 2.46 -19.88 2.816 -8.544 0.192 0.144 0.128
-1.35566 -0.56949 0.0889709 1.38058 -0.143427 0.671884 -0.411107 -0.638921 -0.524253 0.0569414 1.06225 -0.0997456 -0.695077 -0.0718639 2.428 -19.784 2.816 -8.512 0.172 0.152 0.12
-1.35566 -0.569874 0.0882039 1.3825 -0.143427 0.669583 -0.409956 -0.646383 -0.525431 0.0726493 1.06853 -0.092677 -0.674264 -0.0726493 2.428 -19.752 2.848 -8.544 0.192 0.164 0.12
-1.35757 -0.571024 0.0882039 1.3848 -0.143811 0.668432 -0.411107 -0.65188 -0.521112 0.0828595 1.076 -0.0879646 -0.658949 -0.065188 2.584 -19.752 2.648 -8.512 0.172 0.164 0.12
-1.35834 -0.572558 0.0889709 1.38672 -0.143044 0.667665 -0.41149 -0.649524 -0.514436 0.0820741 1.08346 -0.0840376 -0.651095 -0.0537998 2.492 -19.688 2.984 -8.544 0.192 0.144 0.14
-1.35987 -0.573325 0.0893544 1.38902 -0.143427 0.665748 -0.411107 -0.644026 -0.511687 0.073042 1.09092 -0.0793252 -0.646383 -0.0502655 2.492 -19.624 3.016 -8.544 0.184 0.132 0.1
-1.36026 -0.574476 0.0901214 1.39132 -0.143811 0.664981 -0.41149 -0.644026 -0.512865 0.0659734 1.09092 -0.0687223 -0.643241 -0.0534071 2.68 -19.624 3.048 -8.544 0.136 0.152 0.12
-1.36179 -0.574859 0.0908884 1.39285 -0.144194 0.663063 -0.411107 -0.642456 -0.519148 0.0699004 1.08974 -0.0585122 -0.645597 -0.0585122 2.708 -19.464 3.084 -8.544 0.108 0.144 0.14
-1.36409 -0.576777 0.0893544 1.39477 -0.144194 0.66268 -0.411874 -0.63146 -0.524253 0.0816814 1.09053 -0.060083 -0.652273 -0.0589049 2.772 -19.496 3.216 -8.484 0.092 0.152 0.128
-1.36448 -0.57716 0.0897379 1.39707 -0.143811 0.660379 -0.412257 -0.62714 -0.525824 0.0879646 1.09092 -0.0624392 -0.655807 -0.0569414 2.74 -19.432 3.352 -8.452 0.1 0.152 0.112
-1.36524 -0.577544 0.0897379 1.39861 -0.144194 0.658845 -0.412257 -0.629497 -0.523468 0.0879646 1.09053 -0.0592976 -0.66052 -0.0628319 2.928 -19.4 3.216 -8.512 0.08 0.152 0.128
-1.36678 -0.577927 0.0905049 1.40091 -0.144578 0.658078 -0.412257 -0.628319 -0.518363 0.0899281 1.08895 -0.0592976 -0.673086 -0.0746128 2.992 -19.336 3.284 -8.512 0.08 0.132 0.12
-1.36793 -0.579845 0.0912719 1.40321 -0.145345 0.655777 -0.412257 -0.62557 -0.510902 0.0942478 1.08542 -0.0675442 -0.686831 -0.0840376 3.052 -19.336 3.452 -8.484 0.092 0.152 0.14
-1.36818 -0.580356 0.0905049 1.40449 -0.145089 0.655521 -0.412002 -0.621643 -0.505404 0.0986984 1.08359 -0.0733038 -0.694685 -0.0863938 3.09467 -19.2933 3.40667 -8.46267 0.084 0.16 0.14
-1.36984 -0.581379 0.0901214 1.40704 -0.144961 0.654243 -0.412257 -0.608684 -0.491659 0.0993529 1.08306 -0.0832522 -0.709607 -0.0879646 3.084 -19.272 3.352 -8.42 0.128 0.124 0.12
-1.37061 -0.582146 0.0901214 1.40858 -0.145728 0.652709 -0.412257 -0.59651 -0.479486 0.0856084 1.08424 -0.0863938 -0.711178 -0.0852157 3.176 -19.304 3.184 -8.392 0.136 0.144 0.128
-1.37215 -0.582913 0.0912719 1.41203 -0.146495 0.651558 -0.412257 -0.584729 -0.470846 0.0714712 1.08032 -0.0907135 -0.70568 -0.0757909 3.208 -19.208 3.216 -8.392 0.156 0.152 0.156
-1.3733 -0.584063 0.0912719 1.41318 -0.146495 0.649641 -0.411874 -0.57766 -0.469275 0.0675442 1.07835 -0.10328 -0.701361 -0.0596903 3.208 -19.272 3.148 -8.36 0.192 0.184 0.128
-1.37381 -0.58483 0.0917832 1.41497 -0.146751 0.648107 -0.412896 -0.579493 -0.471632 0.0746128 1.07992 -0.114537 -0.703193 -0.0471239 3.22933 -19.2293 3.06 -8.32 0.192 0.157333 0.136
-1.3756 -0.585981 0.0924223 1.4174 -0.146495 0.645806 -0.412257 -0.582765 -0.477129 0.0954259 1.0756 -0.135481 -0.71432 -0.0290597 3.272 -19.208 2.948 -8.268 0.2 0.152 0.14
-1.37675 -0.587131 0.0924223 1.41932 -0.146879 0.644655 -0.411874 -0.583551 -0.483805 0.106814 1.06736 -0.144121 -0.727671 -0.0270962 3.332 -19.208 2.916 -8.24 0.184 0.144 0.12
-1.3779 -0.587898 0.0916554 1.42238 -0.147262 0.643121 -0.412257 -0.591012 -0.490874 0.113883 1.0595 -0.144121 -0.735133 -0.0259181 3.304 -19.176 3.016 -8.116 0.192 0.172 0.1
-1.37905 -0.589432 0.0924223 1.42392 -0.147646 0.642354 -0.413024 -0.604364 -0.490874 0.115846 1.06107 -0.144513 -0.735918 -0.0204204 3.456 -19.208 3.016 -8.088 0.192 0.164 0.12
-1.37982 -0.589816 0.0920388 1.42622 -0.147646 0.64082 -0.412257 -0.615359 -0.48891 0.10917 1.07168 -0.144906 -0.738667 -0.0176715 3.488 -19.208 3.016 -8.088 0.192 0.192 0.14
-1.38084 -0.590327 0.0928058 1.4275 -0.147901 0.639798 -0.412769 -0.615359 -0.488125 0.104982 1.0777 -0.141503 -0.744165 -0.0171479 3.448 -19.1867 3.08267 -8.06667 0.192 0.210667 0.132
-1.38173 -0.592117 0.0928058 1.43044 -0.148029 0.638136 -0.413408 -0.609076 -0.486947 0.0969967 1.08228 -0.128805 -0.756731 -0.0188496 3.584 -19.144 2.984 -8.088 0.192 0.26 0.12
-1.3825 -0.5925 0.0920388 1.43235 -0.148029 0.636602 -0.413024 -0.607113 -0.483805 0.0934624 1.07874 -0.121737 -0.757909 -0.0322013 3.584 -19.112 3.048 -8.18 0.2 0.308 0.112
-1.38403 -0.593651 0.0935728 1.43389 -0.148796 0.635452 -0.413024 -0.599651 -0.483805 0.0852157 1.07914 -0.119381 -0.749663 -0.0463385 3.708 -19.112 3.016 -8.208 0.184 0.328 0.14
-1.38518 -0.593651 0.0928058 1.43696 -0.148413 0.634301 -0.413024 -0.585514 -0.483805 0.0789325 1.0811 -0.120166 -0.737489 -0.052229 3.644 -19.112 3.148 -8.268 0.2 0.368 0.148
-1.38672 -0.595185 0.0935728 1.43811 -0.148029 0.633151 -0.412641 -0.573733 -0.4787 0.0781471 1.08424 -0.124093 -0.725315 -0.0486947 3.924 -19.016 3.284 -8.332 0.172 0.396 0.14
-1.38787 -0.596335 0.0935728 1.43964 -0.148413 0.631617 -0.413408 -0.566665 -0.473988 0.076969 1.08424 -0.118988 -0.712356 -0.0380918 3.864 -19.048 3.252 -8.392 0.136 0.388 0.148
-1.38749 -0.597486 0.0935728 1.44271 -0.148796 0.631617 -0.413408 -0.566665 -0.4787 0.0753982 1.07364 -0.10328 -0.698612 -0.0314159 3.8 -19.08 3.42 -8.42 0.128 0.396 0.148
-1.38864 -0.598253 0.0935728 1.44424 -0.149563 0.630466 -0.413791 -0.56313 -0.48734 0.073042 1.06264 -0.0907135 -0.678977 -0.032594 3.8 -18.984 3.352 -8.42 0.092 0.336 0.148
