ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.4895 -0.590966 -0.454058 1.67319 0.627015 0.76699 1.43657 -0.0612611 0.589834 -0.205382 -1.4789 -0.345575 0.783042 0.368744 -4.736 -14.752 -8.616 -6.02 0.052 0.388 0.112
1.48873 -0.589432 -0.453675 1.67012 0.626248 0.770058 1.43772 -0.0671515 0.595332 -0.206952 -1.47537 -0.349502 0.774795 0.355 -4.612 -14.784 -8.648 -6.08 0.036 0.396 0.112
1.4895 -0.588665 -0.455592 1.66667 0.625481 0.770825 1.43734 -0.0738274 0.602793 -0.20656 -1.47773 -0.353429 0.768512 0.340077 -4.768 -14.848 -8.648 -6.048 0.044 0.388 0.14
1.48911 -0.587131 -0.455209 1.66399 0.625097 0.772359 1.43849 -0.0781471 0.609469 -0.203418 -1.48558 -0.362069 0.770476 0.329082 -4.8 -14.848 -8.416 -6.08 0.036 0.376 0.14
1.48911 -0.586748 -0.455592 1.66053 0.625097 0.773893 1.43849 -0.0860011 0.61104 -0.201847 -1.49618 -0.367959 0.773224 0.323584 -4.644 -15.008 -8.48 -6.112 0.024 0.388 0.12
1.48719 -0.584447 -0.455592 1.65823 0.624714 0.775044 1.44002 -0.0954259 0.606327 -0.199098 -1.51071 -0.360105 0.77401 0.32005 -4.644 -15.008 -8.48 -6.2 0.016 0.396 0.12
1.48681 -0.58368 -0.456359 1.65517 0.62318 0.776578 1.44041 -0.110348 0.603578 -0.190852 -1.52092 -0.339685 0.769298 0.317301 -4.488 -15.168 -8.448 -6.232 0.016 0.396 0.1
1.48719 -0.582146 -0.456359 1.65248 0.622413 0.776961 1.44002 -0.129198 0.609469 -0.178678 -1.52485 -0.324762 0.759873 0.321228 -4.736 -15.104 -8.348 -6.264 0.016 0.424 0.128
1.48796 -0.580612 -0.456359 1.64941 0.621646 0.778495 1.44079 -0.146477 0.618108 -0.171217 -1.52249 -0.326333 0.74495 0.321228 -4.548 -15.168 -8.28 -6.264 0.008 0.424 0.1
1.48604 -0.580228 -0.457126 1.64634 0.620495 0.780029 1.44194 -0.151975 0.62714 -0.168468 -1.52446 -0.332616 0.730028 0.307483 -4.736 -15.168 -8.312 -6.264 0.036 0.444 0.128
