ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-0.791534 -0.0801505 0.00115049 1.50253 0.0272282 0.158 0.00843689 0.129983 -0.0549779 -0.011781 -0.373457 0.305913 0.0102102 0.447284 1.744 -5.608 -0.332 -0.444 0.2 0.54 0.156
-0.790384 -0.0801505 0.00230097 1.50177 0.0279951 0.158 0.00997088 0.128413 -0.052229 -0.02474 -0.368352 0.311018 0.00942478 0.449248 1.836 -5.576 -0.468 -0.416 0.188 0.532 0.156
-0.789617 -0.0809175 0.00230097 1.50119 0.0291456 0.157617 0.0105461 0.122915 -0.0575304 -0.0316123 -0.366977 0.326922 0.00569414 0.453175 2.118 -5.546 -0.382 -0.476 0.18 0.56 0.13
-0.789489 -0.0809175 0.00204531 1.50049 0.0299126 0.157361 0.0115049 0.120559 -0.0633555 -0.0242164 -0.364948 0.33602 0.0014399 0.456578 2.22267 -5.516 -0.32 -0.465333 0.181333 0.557333 0.124
-0.789233 -0.0809175 0.00153398 1.49947 0.0306796 0.157617 0.0122718 0.118988 -0.069115 -0.0161007 -0.362069 0.341256 -0.00274889 0.458673 2.244 -5.516 -0.232 -0.444 0.2 0.568 0.148
-0.788083 -0.081301 0.00230097 1.49947 0.0306796 0.158 0.0126553 0.122129 -0.0699004 -0.0125664 -0.359712 0.345182 -0.0129591 0.462992 2.46 -5.516 -0.164 -0.476 0.188 0.552 0.156
-0.788466 -0.081301 0.00191748 1.49908 0.0314466 0.157617 0.0145728 0.135088 -0.0695077 -0.0133518 -0.360105 0.347931 -0.0219911 0.466527 2.648 -5.608 -0.1 -0.476 0.208 0.58 0.168
-0.787699 -0.081301 0.00076699 1.49832 0.0318301 0.158 0.0145728 0.150404 -0.0750055 -0.0161007 -0.356178 0.346753 -0.0235619 0.470453 2.896 -5.516 -0.064 -0.444 0.2 0.58 0.128
-0.787316 -0.0814288 0.00102265 1.49768 0.0322136 0.158 0.0164903 0.164672 -0.0713403 -0.0281434 -0.344397 0.338768 -0.0202895 0.481056 3.012 -5.52533 -0.032 -0.485333 0.218667 0.592 0.132
-0.786549 -0.0816845 0.00153398 1.49717 0.0329806 0.158 0.0172573 0.170431 -0.0663661 -0.0373064 -0.337329 0.332223 -0.0168861 0.486554 3.116 -5.544 -0.032 -0.504 0.2 0.6 0.14
-0.786932 -0.081301 0.00076699 1.49717 0.0337476 0.157617 0.0176408 0.180642 -0.0608684 -0.0463385 -0.327511 0.318872 -0.0149226 0.490874 3.208 -5.544 0.032 -0.444 0.216 0.568 0.148
-0.786932 -0.081301 0.00153398 1.4964 0.0337476 0.157617 0.0187913 0.190066 -0.0585122 -0.0486947 -0.317694 0.314159 -0.0145299 0.492052 3.332 -5.516 0.1 -0.476 0.208 0.568 0.148
-0.786549 -0.0816845 0.00076699 1.49563 0.0345146 0.157233 0.0191748 0.194779 -0.0592976 -0.0506582 -0.307876 0.315337 -0.0161007 0.491659 3.428 -5.484 0.232 -0.504 0.216 0.58 0.148
-0.786165 -0.0824515 0.00191748 1.49486 0.0352816 0.157233 0.0207087 0.195564 -0.0569414 -0.0510509 -0.300807 0.312981 -0.0180642 0.492052 3.52 -5.484 0.232 -0.476 0.228 0.58 0.156
-0.785398 -0.082068 0.00076699 1.49486 0.0356651 0.157617 0.0218592 0.191244 -0.0585122 -0.048302 -0.298059 0.31141 -0.0204204 0.494408 3.768 -5.544 0.3 -0.476 0.228 0.568 0.156
-0.784631 -0.082068 0.0 1.49448 0.0360485 0.15685 0.0237767 0.188888 -0.0667588 -0.0435896 -0.294917 0.308661 -0.0164934 0.499906 3.74 -5.544 0.4 -0.476 0.252 0.568 0.14
-0.785015 -0.082068 0.00115049 1.49371 0.0368155 0.158 0.0237767 0.190066 -0.0734347 -0.0490874 -0.286278 0.304734 -0.0149226 0.510509 3.896 -5.516 0.468 -0.504 0.28 0.568 0.14
-0.784248 -0.082835 0.000383495 1.49333 0.037966 0.158 0.0245437 0.194386 -0.0738274 -0.0620465 -0.28078 0.301593 -0.0161007 0.518755 3.864 -5.516 0.532 -0.476 0.288 0.552 0.148
-0.783864 -0.0824515 0.0 1.49333 0.038733 0.158 0.0245437 0.198706 -0.0710785 -0.0683296 -0.277246 0.303556 -0.00981748 0.511687 3.956 -5.544 0.6 -0.504 0.28 0.552 0.176
-0.783864 -0.0824515 0.0 1.49256 0.0395 0.158384 0.0260777 0.203418 -0.0679369 -0.0699004 -0.27057 0.312981 0.000785398 0.491267 4.144 -5.544 0.668 -0.504 0.3 0.552 0.176
-0.78233 -0.0824515 -0.00076699 1.49141 0.040267 0.157617 0.0268447 0.206167 -0.0620465 -0.0714712 -0.261538 0.327511 0.0133518 0.472417 4.144 -5.516 0.836 -0.476 0.28 0.552 0.168
-0.78233 -0.0824515 0.0 1.4918 0.041034 0.157233 0.0279951 0.212058 -0.0549779 -0.076969 -0.257611 0.341648 0.0212058 0.461814 4.268 -5.576 0.8 -0.504 0.288 0.552 0.176
-0.781947 -0.0832185 -0.000383495 1.49141 0.0414175 0.158 0.0287621 0.220697 -0.0526217 -0.0812887 -0.253684 0.352251 0.0172788 0.45828 4.3 -5.544 0.868 -0.504 0.3 0.54 0.176
-0.78118 -0.0832185 0.000383495 1.49026 0.0414175 0.158 0.0299126 0.230514 -0.0573341 -0.0801106 -0.244259 0.358534 0.0125664 0.460243 4.456 -5.516 0.9 -0.504 0.288 0.552 0.148
-0.780413 -0.0824515 -0.00076699 1.49026 0.042568 0.157617 0.0306796 0.239939 -0.065188 -0.0757909 -0.239939 0.359712 0.0145299 0.46417 4.58 -5.544 0.836 -0.504 0.264 0.54 0.168
-0.779646 -0.0839854 -0.00115049 1.48988 0.0429515 0.158 0.0310631 0.250149 -0.0655807 -0.0753982 -0.239546 0.35932 0.0164934 0.4626 4.488 -5.544 0.9 -0.504 0.264 0.568 0.168
-0.778495 -0.083602 -0.00115049 1.4895 0.0441019 0.158 0.0322136 0.263108 -0.06401 -0.0805033 -0.231692 0.359712 0.0145299 0.457102 4.58 -5.544 0.9 -0.504 0.252 0.54 0.168
-0.779646 -0.0839854 -0.00153398 1.48911 0.0444854 0.157617 0.0337476 0.283136 -0.0663661 -0.0879646 -0.218733 0.36089 0.0113883 0.449248 4.58 -5.544 0.9 -0.504 0.252 0.532 0.168
-0.778112 -0.0832185 -0.00191748 1.48911 0.0456359 0.158 0.0345146 0.300022 -0.0687223 -0.0958186 -0.211272 0.362461 0.00549779 0.442572 4.58 -5.516 1.036 -0.504 0.244 0.568 0.196
-0.777728 -0.083602 -0.00230097 1.48873 0.0467864 0.158 0.0352816 0.305127 -0.0667588 -0.104065 -0.206952 0.363639 -0.00510509 0.441001 4.612 -5.516 1.136 -0.504 0.252 0.58 0.176
-0.777345 -0.0847524 -0.00230097 1.48873 0.0471699 0.157233 0.0360485 0.301593 -0.0647953 -0.116239 -0.201062 0.372671 -0.0102102 0.442572 4.548 -5.516 1.168 -0.504 0.252 0.568 0.168
-0.776578 -0.083602 -0.00268447 1.48834 0.0471699 0.15685 0.0368155 0.293346 -0.0695077 -0.124486 -0.192815 0.38406 -0.0137445 0.448855 4.736 -5.516 1.368 -0.476 0.252 0.568 0.14
-0.776578 -0.0843689 -0.00460194 1.48834 0.0490874 0.157233 0.0383495 0.288634 -0.0734347 -0.131161 -0.179856 0.390736 -0.0215984 0.45828 4.612 -5.452 1.268 -0.504 0.272 0.6 0.168
-0.775427 -0.0843689 -0.00319579 1.48783 0.0504935 0.157233 0.0396278 0.285623 -0.0759218 -0.151844 -0.163494 0.393484 -0.0298451 0.469799 4.684 -5.40933 1.392 -0.504 0.238667 0.6 0.16
-0.77466 -0.0851359 -0.00345146 1.48758 0.0502379 0.157233 0.0398835 0.2851 -0.076969 -0.161007 -0.155902 0.396626 -0.0306305 0.477129 4.58 -5.388 1.504 -0.504 0.228 0.6 0.168
-0.775044 -0.0843689 -0.00345146 1.48719 0.0510049 0.157233 0.041034 0.289812 -0.0777544 -0.159829 -0.147655 0.402124 -0.0278816 0.488125 4.516 -5.388 1.672 -0.536 0.228 0.6 0.156
-0.774277 -0.0847524 -0.00421845 1.48681 0.0513884 0.157617 0.0414175 0.289812 -0.0793252 -0.150011 -0.141764 0.400946 -0.0223838 0.489696 4.644 -5.356 1.636 -0.596 0.244 0.568 0.148
-0.772743 -0.0851359 -0.00421845 1.48604 0.0529223 0.157617 0.0421845 0.279602 -0.0816814 -0.140586 -0.139015 0.393484 -0.0184569 0.482627 4.704 -5.324 1.772 -0.564 0.236 0.6 0.156
-0.771592 -0.0855194 -0.00383495 1.48604 0.0529223 0.157617 0.043335 0.280387 -0.0824668 -0.132732 -0.140979 0.387987 -0.011781 0.470061 4.736 -5.324 1.872 -0.536 0.252 0.58 0.176
-0.771465 -0.0856473 -0.00460194 1.48617 0.0535615 0.157489 0.0448689 0.304996 -0.0818123 -0.121999 -0.143859 0.38262 -0.0015708 0.457494 4.88133 -5.34533 1.84933 -0.536 0.282667 0.593333 0.176
-0.771209 -0.0859029 -0.00460194 1.48643 0.0540728 0.158 0.0456359 0.318086 -0.0820741 -0.114668 -0.144121 0.378169 0.0 0.454353 4.924 -5.324 1.94 -0.536 0.288 0.58 0.176
-0.769675 -0.0851359 -0.00498544 1.48528 0.0552233 0.158 0.0467864 0.331831 -0.0832522 -0.1076 -0.139015 0.369137 0.0019635 0.457887 4.892 -5.324 1.94 -0.536 0.288 0.568 0.156
-0.769291 -0.0866699 -0.00498544 1.48604 0.0556068 0.157617 0.0475534 0.342826 -0.0852157 -0.105636 -0.13234 0.361283 0.00824668 0.468883 4.956 -5.292 1.804 -0.504 0.336 0.58 0.176
-0.767757 -0.0855194 -0.00613592 1.4854 0.0565016 0.157361 0.0480647 0.355524 -0.0833831 -0.110872 -0.130638 0.351466 0.00994838 0.473071 4.996 -5.28133 1.95067 -0.536 0.352 0.553333 0.16
